index,Best Performance
0,1.0
1,0.96
2,0.65
3,0.97
4,0.85
5,1.0
6,0.92
7,0.79
8,0.98
9,0.77
10,0.77
11,0.9
12,0.28
13,0.75
14,0.98
15,0.98
16,0.84
17,0.99
18,0.73
19,0.26
20,0.5
21,0.61
22,0.93
23,1.0
24,0.98
25,0.96
26,0.97
27,0.95
28,0.97
29,0.86
30,0.99
31,1.0
32,0.98
33,0.93
34,0.79
35,0.97
36,0.81
37,0.27
38,0.98
39,0.68
40,0.81
41,0.92
42,0.96
43,0.96
44,0.95
45,0.76
46,0.87
47,0.97
48,0.93
49,0.56
50,0.85
51,0.84
52,0.81
53,0.99
54,0.91
55,1.0
56,0.99
57,0.83
58,0.78
59,0.99
60,0.63
61,0.95
62,0.79
63,0.99
64,0.975
65,0.96
66,0.9
67,0.96
68,0.99
69,0.69
70,0.83
71,0.96
72,0.95
73,0.94
74,0.93
75,0.88
76,0.81
77,0.97
78,0.65
79,0.99
80,0.76
81,1.0
82,0.99
83,0.98
84,0.99
85,0.98
86,0.95
87,0.89
88,0.99
89,0.44
90,0.93
91,0.92
92,0.95
93,0.91
94,0.82
95,0.68
96,0.83
97,0.9075
98,0.96
99,0.94
100,0.99
101,0.67
102,0.8
103,0.97
104,0.77
105,0.95
106,0.99
107,0.93
108,1.0
109,0.81
110,0.44
111,0.88
112,0.85
113,0.98
114,1.0
115,0.35
116,0.77
117,0.94
118,0.98
119,0.99
120,0.32
121,1.0
122,1.0
123,0.94
124,0.99
125,0.82
126,0.96
127,0.89
128,0.98
129,0.33
130,0.96
131,0.44
132,0.98
133,0.99
134,0.96
135,0.75
136,0.99
137,0.91
138,0.35
139,0.9
140,0.88
141,1.0
142,0.85
143,0.72
144,0.71
145,1.0
146,1.0
147,0.92
148,0.99
149,0.98
150,0.79
151,0.94
152,0.88
153,0.95
154,1.0
155,0.99
156,0.91
157,1.0
158,0.41
159,0.99
160,0.8076190476190476
161,0.94
162,0.99
163,0.98
164,0.95
165,0.91
166,0.59
167,1.0
168,1.0
169,1.0
170,0.71
171,0.99
172,0.85
173,0.83
174,0.32
175,0.73
176,0.34
177,0.8
178,0.87
179,0.54
180,1.0
181,0.94
182,0.95
183,0.35
184,0.96
185,0.98
186,0.99
187,1.0
188,0.98
189,0.74
190,0.69
191,0.96
192,0.99
193,0.87
194,0.92
195,1.0
196,0.44
197,0.98
198,0.82
199,0.99
200,0.93
201,0.59
202,0.97
203,0.8
204,0.35
205,0.97
206,0.81
207,0.92
208,0.91
209,0.94
210,0.94
211,0.83
212,0.46
213,0.95
214,0.91
215,0.99
216,1.0
217,0.9
218,0.8
219,0.88
220,0.82
221,0.94
222,0.94
223,0.9
224,0.9
225,0.96
226,0.93
227,0.88
228,0.98
229,1.0
230,0.96
231,0.97
232,0.63
233,1.0
234,0.95
235,0.79
236,1.0
237,0.68
238,0.67
239,0.93
240,1.0
241,0.8
242,0.66
243,1.0
244,0.89
245,0.99
246,0.94
247,1.0
248,0.96
249,0.97
250,0.98
251,0.98
252,0.85
253,0.95
254,0.95
255,0.97
256,1.0
257,0.98
258,0.34
259,0.32
260,0.88
261,0.7
262,0.83
263,0.97
264,0.45
265,0.94
266,0.92
267,0.99
268,0.99
269,0.93
270,0.81
271,0.92
272,0.69
273,0.82
274,0.92
275,0.95
276,1.0
277,0.75
278,0.92
279,0.75
280,0.97
281,0.44
282,0.98
283,0.71
284,0.62
285,0.95
286,1.0
287,0.78
288,0.93
289,0.99
290,0.99
291,0.93
292,1.0
293,0.78
294,0.96
295,0.53
296,1.0
297,0.39
298,0.99
299,0.84
300,0.99
301,1.0
302,0.87
303,0.97
304,1.0
305,0.98
306,0.98
307,0.74
308,0.98
309,0.96
310,0.75
311,0.72
312,0.83
313,0.96
314,0.45
315,1.0
316,0.93
317,1.0
318,1.0
319,0.99
320,0.46
321,0.94
322,0.96
323,0.71
324,0.96
325,0.56
326,1.0
327,0.82
328,0.92
329,0.99
330,0.95
331,0.14
332,0.99
333,0.98
334,0.88
335,0.91
336,0.88
337,0.98
338,0.76
339,0.76
340,0.99
341,0.83
342,0.82
343,1.0
344,0.95
345,0.8
346,0.96
347,0.97
348,1.0
349,0.97
350,0.94
351,0.95
352,0.81
353,0.91
354,0.96
355,1.0
356,0.88
357,0.89
358,0.99
359,0.87
360,0.87
361,0.99
362,0.95
363,0.98
364,0.68
365,0.54
366,1.0
367,0.51
368,0.96
369,0.87
370,0.91
371,0.89
372,0.79
373,0.82
374,0.96
375,0.97
376,1.0
377,0.43
378,0.95
379,0.75
380,0.98
381,0.99
382,0.41
383,0.12
384,0.81
385,1.0
386,0.81
387,0.99
388,0.87
389,1.0
390,0.92
391,0.41
392,1.0
393,0.98
394,0.89
395,0.25
396,0.73
397,0.97
398,0.87
399,0.95
400,0.84
401,1.0
402,0.94
403,1.0
404,1.0
405,0.84
406,0.91
407,0.95
408,0.98
409,0.99
410,0.94
411,0.94
412,0.99
413,0.97
414,0.98
415,0.93
416,0.83
417,0.95
418,0.97
419,0.74
420,0.79
421,0.95
422,0.68
423,0.94
424,0.95
425,0.98
426,0.82
427,0.88
428,0.99
429,0.85
430,1.0
431,0.71
432,1.0
433,0.92
434,0.76
435,0.91
436,0.88
437,0.94
438,0.99
439,0.82
440,0.94
441,0.6
442,1.0
443,0.94
444,0.99
445,0.99
446,0.88
447,0.56
448,0.96
449,0.98
450,0.88
451,0.42
452,0.99
453,0.99
454,0.79
455,0.91
456,0.74
457,0.99
458,0.88
459,0.53
460,0.75
461,0.94
462,0.91
463,1.0
464,0.93
465,0.95
466,1.0
467,1.0
468,0.88
469,0.96
470,0.9
471,0.86
472,0.93
473,0.97
474,0.88
475,0.96
476,0.85
477,0.79
478,0.78
479,0.93
480,1.0
481,0.91
482,0.98
483,0.98
484,0.89
485,0.94
486,0.96
487,0.48
488,1.0
489,0.97
490,1.0
491,0.95
492,1.0
493,0.95
494,0.89
495,1.0
496,0.88
497,0.83
498,0.6
499,0.82
500,0.4
501,0.88
502,0.75
503,0.98
504,0.9
505,0.88
506,0.33
507,0.96
508,0.6
509,1.0
510,0.97
511,0.74
512,0.36
513,0.71
514,0.82
515,0.9
516,0.9
517,0.67
518,0.42
519,0.73
520,0.67
521,0.82
522,0.91
523,0.91
524,0.9
525,0.98
526,0.5
527,0.985
528,0.92
529,0.95
530,0.26
531,1.0
532,0.93
533,1.0
534,0.39
535,1.0
536,0.77
537,0.94
538,0.93
539,0.97
540,0.97
541,0.94
542,0.8
543,0.74
544,0.97
545,0.77
546,0.79
547,0.96
548,0.99
549,0.6968333333333334
550,0.86
551,0.72
552,0.88
553,0.88
554,0.9
555,0.21
556,0.97
